artist_name, tag_name, tag_count_pct
Cio D'or,minimal techno,0.103753
Cipy,minimal,0.142241
Cipy,minimal techno,0.215517
Cipy,electronic,0.142241
Cipy,electronica,0.215517
Cipy,House,0.142241
Clara Moto,minimal,0.211864
Clara Moto,techno,0.177966
Claro Intelecto,minimal,0.174825
Claro Intelecto,techno,0.141608
Claro Intelecto,electronic,0.155594
Claro Intelecto,idm,0.143357
Claude VonStroke,minimal,0.25
Claude VonStroke,techno,0.1775
Claude VonStroke,minimal techno,0.115
Claude VonStroke,electronic,0.12
Claudio PRC,minimal,0.133333
Claudio PRC,techno,0.216667
Claudio PRC,minimal techno,0.238095
Claudio PRC,ambient,0.12381
Claudio PRC,Ambient Techno,0.12381
Cle,minimal,0.232558
Cle,minimal techno,0.153488
Click Box,minimal,0.265252
Click Box,techno,0.214854
Click Box,minimal techno,0.164456
Click Box,tech house,0.114058
Closer Musik,minimal,0.187617
Closer Musik,electronic,0.140713
Closer Musik,Kompakt,0.121951
Cobblestone Jazz,minimal,0.208768
Cobblestone Jazz,techno,0.146138
Cobblestone Jazz,minimal techno,0.123173
Cobblestone Jazz,electronic,0.146138
Coeter One,minimal,0.125628
Coeter One,techno,0.125628
Coeter One,minimal techno,0.251256
Coeter One,deep,0.251256
Coeter One,under 2000 listeners,0.165829
Coil,electronic,0.110345
Coil,ambient,0.105747
Coil,experimental,0.197701
Coil,dark ambient,0.151724
Coil,industrial,0.229885
Conforce,techno,0.219638
Conforce,minimal techno,0.116279
Conforce,dub techno,0.258398
Container,techno,0.219298
Container,minimal techno,0.153509
Container,experimental,0.10307
COS/MES,techno,0.172414
COS/MES,minimal techno,0.103448
Cosmic Sandwich,minimal,0.222973
Cosmic Sandwich,techno,0.168919
Cosmic Sandwich,minimal techno,0.337838
Cristian Varela,techno,0.49505
Cristian Vogel,techno,0.232558
Cristian Vogel,electronic,0.132558
Cristian Vogel,experimental,0.118605
CTRLS,techno,0.299401
CTRLS,minimal techno,0.134731
CTRLS,electronic,0.188623
CTRLS,mutant techno,0.161677
Cubenx,electronic,0.139665
Cyan341,minimal,0.168067
Cyan341,minimal techno,0.168067
Cyan341,dub techno,0.168067
D'Malicious,techno,0.111111
D'Malicious,electronic,0.111111
D'Malicious,detroit techno,0.111111
D'Malicious,House,0.111111
D'Malicious,tech-house,0.111111
D'Malicious,minimal techno artists,0.222222
D'Malicious,melodic techno,0.111111
D'Malicious,to listen to,0.111111
