id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location,pct_available,distance_from_request
297,E 15 St & 3 Ave,3,27,40.734232,-73.986923,In Service,24,E 15 St & 3 Ave,,,,0.8888888888888888,3.825729997574127
298,3 Ave & Flatbush Ave,26,35,40.68683208,-73.9796772,In Service,9,3 Ave & Flatbush Ave,,,,0.2571428571428571,2.456932296442331
300,Shevchenko Pl & E 6 St,12,55,40.728145,-73.990214,In Service,43,Shevchenko Pl & E 6 St,,,,0.7818181818181819,3.096637264647929
301,E 2 St & Avenue B,4,37,40.72217444,-73.98368779,In Service,33,E 2 St & Avenue B,,,,0.8918918918918919,2.7296847484344635
302,Avenue D & E 3 St,13,23,40.72082834,-73.97793172,In Service,10,Avenue D & E 3 St,,,,0.43478260869565216,2.910323286067188
303,Mercer St & Spring St,21,31,40.72362738,-73.99949601,In Service,10,Mercer St & Spring St,,,,0.3225806451612903,2.4533972774852058
304,Broadway & Battery Pl,36,36,40.70463334,-74.01361706,In Service,0,Broadway & Battery Pl,,,,0.0,1.0844494492567491
305,E 58 St & 3 Ave,28,33,40.76095756,-73.96724467,In Service,5,E 58 St & 3 Ave,,,,0.15151515151515152,7.195761900200427
306,Cliff St & Fulton St,34,37,40.70823502,-74.00530063,In Service,3,Cliff St & Fulton St,,,,0.08108108108108109,0.8081906239915838
307,Canal St & Rutgers St,19,31,40.71427487,-73.98990025,In Service,12,Canal St & Rutgers St,,,,0.3870967741935484,1.709051778047368
308,St James Pl & Oliver St,17,27,40.71307916,-73.99851193,In Service,10,St James Pl & Oliver St,,,,0.37037037037037035,1.2987953708539244
309,Murray St & West St,35,41,40.7149787,-74.013012,In Service,6,Murray St & West St,,,,0.14634146341463414,1.780763988103474
310,State St & Smith St,1,35,40.68926942,-73.98912867,In Service,34,State St & Smith St,,,,0.9714285714285714,1.7153563570318815
311,Norfolk St & Broome St,20,30,40.7172274,-73.98802084,In Service,10,Norfolk St & Broome St,,,,0.3333333333333333,2.06986863968291
312,Allen St & E Houston St,26,31,40.722055,-73.989111,In Service,5,Allen St & E Houston St,,,,0.16129032258064516,2.4975001012272258
313,Washington Ave & Park Ave,7,23,40.69610226,-73.96751037,In Service,16,Washington Ave & Park Ave,,,,0.6956521739130435,2.9183691721647733
314,Montague St & Clinton St,37,39,40.69424674,-73.99215922,In Service,2,Montague St & Clinton St,,,,0.05128205128205128,1.12737033729439
315,South St & Gouverneur Ln,18,29,40.70355377,-74.00670227,In Service,11,South St & Gouverneur Ln,,,,0.3793103448275862,0.4980865155191328
316,Fulton St & William St,37,43,40.70955958,-74.00653609,In Service,6,Fulton St & William St,,,,0.13953488372093023,0.9856649338372019
317,E 6 St & Avenue B,6,27,40.72453734,-73.98185424,In Service,21,E 6 St & Avenue B,,,,0.7777777777777778,3.0340106832404374
318,E 43 St & Vanderbilt Ave,25,31,40.75320159,-73.9779874,In Service,6,E 43 St & Vanderbilt Ave,,,,0.1935483870967742,6.063703284284938
319,Park Pl & Church St,3,35,40.71336124,-74.00937622,In Service,32,Park Pl & Church St,,,,0.9142857142857143,1.470589164240673
320,Church St & Leonard St,36,39,40.71743998,-74.00583475,In Service,3,Church St & Leonard St,,,,0.07692307692307693,1.8001434228058
321,Cadman Plaza E & Red Cross Pl,24,27,40.69991755,-73.98971773,In Service,3,Cadman Plaza E & Red Cross Pl,,,,0.1111111111111111,1.0003616541872336
322,Clinton St & Tillary St,31,31,40.696192,-73.991218,In Service,0,Clinton St & Tillary St,,,,0.0,1.0460077751294148
323,Lawrence St & Willoughby St,31,39,40.69236178,-73.98631746,In Service,8,Lawrence St & Willoughby St,,,,0.20512820512820512,1.6322530883200739
324,DeKalb Ave & Hudson Ave,17,51,40.689888,-73.981013,In Service,34,DeKalb Ave & Hudson Ave,,,,0.6666666666666666,2.153695836590251
325,E 19 St & 3 Ave,13,35,40.73624527,-73.98473765,In Service,22,E 19 St & 3 Ave,,,,0.6285714285714286,4.097705997476975
326,E 11 St & 1 Ave,8,27,40.72953837,-73.98426726,In Service,19,E 11 St & 1 Ave,,,,0.7037037037037037,3.4234618079024446
327,Vesey Pl & River Terrace,16,39,40.7153379,-74.01658354,In Service,23,Vesey Pl & River Terrace,,,,0.5897435897435898,1.9928230225499046
328,Watts St & Greenwich St,19,23,40.72405549,-74.00965965,In Service,4,Watts St & Greenwich St,,,,0.17391304347826086,2.591337108178205
329,Greenwich St & N Moore St,31,31,40.72043411,-74.01020609,In Service,0,Greenwich St & N Moore St,,,,0.0,2.221380909240631
330,Reade St & Broadway,34,39,40.71450451,-74.00562789,In Service,5,Reade St & Broadway,,,,0.1282051282051282,1.4783421681540942
331,Pike St & Monroe St,19,27,40.71173107,-73.99193043,In Service,8,Pike St & Monroe St,,,,0.2962962962962963,1.3793528345948871
332,Cherry St,16,24,40.71219906,-73.97948148,In Service,8,Cherry St,,,,0.3333333333333333,2.1891580720877637
334,W 20 St & 7 Ave,9,31,40.74238787,-73.99726235,In Service,22,W 20 St & 7 Ave,,,,0.7096774193548387,4.546270549818518
335,Washington Pl & Broadway,11,27,40.72903917,-73.99404649,In Service,16,Washington Pl & Broadway,,,,0.5925925925925926,3.111613468970902
336,Sullivan St & Washington Sq,8,36,40.73047747,-73.99906065,In Service,28,Sullivan St & Washington Sq,,,,0.7777777777777778,3.215415234801
337,Old Slip & Front St,36,37,40.7037992,-74.00838676,In Service,1,Old Slip & Front St,,,,0.02702702702702703,0.6387533892658438
339,Avenue D & E 12 St,22,24,40.72580614,-73.97422494,In Service,2,Avenue D & E 12 St,,,,0.08333333333333333,3.5314428281734758
340,Madison St & Clinton St,17,27,40.71269042,-73.98776323,In Service,10,Madison St & Clinton St,,,,0.37037037037037035,1.684168255683789
341,Stanton St & Mangin St,9,19,40.71782143,-73.97628939,In Service,10,Stanton St & Mangin St,,,,0.5263157894736842,2.778358674381652
342,Columbia St & Rivington St,17,29,40.71739973,-73.98016555,In Service,12,Columbia St & Rivington St,,,,0.41379310344827586,2.505741491314139
343,Clinton Ave & Flushing Ave,21,23,40.69794,-73.96986848,In Service,2,Clinton Ave & Flushing Ave,,,,0.08695652173913043,2.685998416975222
344,Monroe St & Bedford Ave,18,23,40.6851443,-73.95380904,In Service,5,Monroe St & Bedford Ave,,,,0.21739130434782608,4.405681332398947
345,W 13 St & 6 Ave,5,35,40.73649403,-73.99704374,In Service,30,W 13 St & 6 Ave,,,,0.8571428571428571,3.8952356851631795
346,Bank St & Hudson St,3,27,40.73652889,-74.00618026,In Service,24,Bank St & Hudson St,,,,0.8888888888888888,3.9028856105948613
347,W Houston St & Hudson St,27,35,40.72873888,-74.00748842,In Service,8,W Houston St & Hudson St,,,,0.22857142857142856,3.059769837527263
348,W Broadway & Spring St,29,42,40.72490985,-74.00154702,In Service,13,W Broadway & Spring St,,,,0.30952380952380953,2.5907906057058954
349,Rivington St & Ridge St,17,23,40.71850211,-73.98329859,In Service,6,Rivington St & Ridge St,,,,0.2608695652173913,2.4187255153006486
350,Clinton St & Grand St,14,28,40.71559509,-73.9870295,In Service,14,Clinton St & Grand St,,,,0.5,1.9703037082038228
351,Front St & Maiden Ln,24,39,40.70530954,-74.00612572,In Service,15,Front St & Maiden Ln,,,,0.38461538461538464,0.5743540884993878
352,W 56 St & 6 Ave,36,36,40.76340613,-73.97722479,In Service,0,W 56 St & 6 Ave,,,,0.0,7.163588016818152
353,S Portland Ave & Hanson Pl,16,27,40.68539567,-73.97431458,In Service,11,S Portland Ave & Hanson Pl,,,,0.4074074074074074,2.905632210264577
354,Emerson Pl & Myrtle Ave,23,31,40.69363137,-73.96223558,In Service,8,Emerson Pl & Myrtle Ave,,,,0.25806451612903225,3.4149465218707804
355,Bayard St & Baxter St,15,43,40.71602118,-73.99974372,In Service,28,Bayard St & Baxter St,,,,0.6511627906976745,1.6089412314376499
356,Bialystoker Pl & Delancey St,15,23,40.71622644,-73.98261206,In Service,8,Bialystoker Pl & Delancey St,,,,0.34782608695652173,2.267956347053229
357,E 11 St & Broadway,17,27,40.73261787,-73.99158043,In Service,10,E 11 St & Broadway,,,,0.37037037037037035,3.5448133382919518
358,Christopher St & Greenwich St,1,36,40.73291553,-74.00711384,In Service,35,Christopher St & Greenwich St,,,,0.9722222222222222,3.5136899703661393
359,E 47 St & Park Av,55,55,40.75510267,-73.97498696,In Service,0,E 47 St & Park Ave,,,,0.0,6.3478739855888175
360,William St & Pine St,38,39,40.70717936,-74.00887308,In Service,1,William St & Pine St,,,,0.02564102564102564,0.8848863086227878
361,Allen St & Hester St,25,43,40.71605866,-73.99190759,In Service,18,Allen St & Hester St,,,,0.4186046511627907,1.7944792595699708
362,Broadway & W 37 St,55,57,40.75172632,-73.98753523,In Service,2,Broadway & W 37 St,,,,0.03508771929824561,5.691503943734907
363,West Thames St,30,49,40.70834698,-74.01713445,In Service,19,West Thames St,,,,0.3877551020408163,1.5242645235977255
364,Lafayette Ave & Classon Ave,27,27,40.68900443,-73.96023854,In Service,0,Lafayette Ave & Classon Ave,,,,0.0,3.738369102456888
365,Fulton St & Grand Ave,28,31,40.68223166,-73.9614583,In Service,3,Fulton St & Grand Ave,,,,0.0967741935483871,3.9933993096466605
366,Clinton Ave & Myrtle Ave,27,33,40.693261,-73.968896,In Service,6,Clinton Ave & Myrtle Ave,,,,0.18181818181818182,2.8895895251116324
367,E 53 St & Lexington Ave,33,33,40.75828065,-73.97069431,In Service,0,E 53 St & Lexington Ave,,,,0.0,6.808624518779572
368,Carmine St & 6 Ave,2,39,40.73038599,-74.00214988,In Service,37,Carmine St & 6 Ave,,,,0.9487179487179487,3.1999415695447424
369,Washington Pl & 6 Ave,6,35,40.73224119,-74.00026394,In Service,29,Washington Pl & 6 Ave,,,,0.8285714285714286,3.406755781051581
372,Franklin Ave & Myrtle Ave,21,27,40.694528,-73.958089,In Service,6,Franklin Ave & Myrtle Ave,,,,0.2222222222222222,3.7311918450272015
373,Willoughby Ave & Walworth St,15,19,40.69331716,-73.95381995,In Service,4,Willoughby Ave & Walworth St,,,,0.21052631578947367,4.111539995712273
375,Mercer St & Bleecker St,15,30,40.72679454,-73.99695094,In Service,15,Mercer St & Bleecker St,,,,0.5,2.8249728112440176
376,John St & William St,41,43,40.70862144,-74.00722156,In Service,2,John St & William St,,,,0.046511627906976744,0.9226885031605184
