id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location
398,Atlantic Ave & Furman St,20,31,40.69165183,-73.9999786,In Service,11,Atlantic Ave & Furman St,,,
399,Lafayette Ave & St James Pl,26,27,40.68851534,-73.9647628,In Service,1,Lafayette Ave & St James Pl,,,
400,Pitt St & Stanton St,12,15,40.71926081,-73.98178024,In Service,3,Pitt St & Stanton St,,,
401,Allen St & Rivington St,40,42,40.72019576,-73.98997825,In Service,2,Allen St & Rivington St,,,
402,Broadway & E 22 St,9,42,40.7403432,-73.98955109,In Service,33,Broadway & E 22 St,,,
403,E 2 St & 2 Ave,4,31,40.72502876,-73.99069656,In Service,27,E 2 St & 2 Ave,,,
404,9 Ave & W 14 St,9,39,40.7405826,-74.00550867,In Service,30,9 Ave & W 14 St,,,
405,Washington St & Gansevoort St,23,40,40.739323,-74.008119,In Service,17,Washington St & Gansevoort St,,,
406,Hicks St & Montague St,32,34,40.69512845,-73.99595065,In Service,2,Hicks St & Montague St,,,
407,Henry St & Poplar St,43,43,40.700469,-73.991454,In Service,0,Henry St & Poplar St,,,
408,Market St & Cherry St,9,23,40.71076228,-73.99400398,In Service,14,Market St & Cherry St,,,
409,DeKalb Ave & Skillman St,8,19,40.6906495,-73.95643107,In Service,11,DeKalb Ave & Skillman St,,,
410,Suffolk St & Stanton St,29,35,40.72066442,-73.98517977,In Service,6,Suffolk St & Stanton St,,,
411,E 6 St & Avenue D,17,23,40.72228087,-73.97668709,In Service,6,E 6 St & Avenue D,,,
412,Forsyth St & Canal St,21,29,40.7158155,-73.99422366,In Service,8,Forsyth St & Canal St,,,
414,Pearl St & Anchorage Pl,12,24,40.70281858,-73.98765762,In Service,12,Pearl St & Anchorage Pl,,,
415,Pearl St & Hanover Square,31,42,40.7047177,-74.00926027,In Service,11,Pearl St & Hanover Square,,,
416,Cumberland St & Lafayette Ave,31,31,40.68753406,-73.97265183,In Service,0,Cumberland St & Lafayette Ave,,,
417,Barclay St & Church St,9,47,40.71291224,-74.01020234,In Service,38,Barclay St & Church St,,,
418,Front St & Gold St,20,23,40.70224,-73.982578,In Service,3,Front St & Gold St,,,
419,Carlton Ave & Park Ave,21,23,40.69580705,-73.97355569,In Service,2,Carlton Ave & Park Ave,,,
420,Clermont Ave & Lafayette Ave,23,23,40.68764484,-73.96968902,In Service,0,Clermont Ave & Lafayette Ave,,,
421,Clermont Ave & Park Ave,19,19,40.69573398,-73.97129668,In Service,0,Clermont Ave & Park Ave,,,
422,W 59 St & 10 Ave,22,50,40.770513,-73.988038,In Service,28,W 59 St & 10 Ave,,,
423,W 54 St & 9 Ave,38,39,40.76584941,-73.98690506,In Service,1,W 54 St & 9 Ave,,,
426,West St & Chambers St,16,31,40.71754834,-74.01322069,In Service,15,West St & Chambers St,,,
427,State St,36,59,40.70251526,-74.01427023,In Service,23,State St,,,
428,E 3 St & 1 Ave,27,31,40.72467721,-73.98783413,In Service,4,E 3 St & 1 Ave,,,
430,York St & Jay St,27,27,40.7014851,-73.98656928,In Service,0,York St & Jay St,,,
431,Hanover Pl & Livingston St,29,30,40.68864636,-73.98263429,In Service,1,Hanover Pl & Livingston St,,,
432,E 7 St & Avenue A,28,31,40.72621788,-73.98379855,In Service,3,E 7 St & Avenue A,,,
433,E 13 St & Avenue A,2,39,40.72955361,-73.98057249,In Service,37,E 13 St & Avenue A,,,
434,9 Ave & W 18 St,9,27,40.74317449,-74.00366443,In Service,18,9 Ave & W 18 St,,,
435,W 21 St & 6 Ave,1,47,40.74173969,-73.99415556,In Service,46,W 21 St & 6 Ave,,,
436,Hancock St & Bedford Ave,27,27,40.68216564,-73.95399026,In Service,0,Hancock St & Bedford Ave,,,
437,Macon St & Nostrand Ave,25,27,40.6809833854,-73.9500479759,In Service,2,Macon St & Nostrand Ave,,,
438,St Marks Pl & 1 Ave,27,27,40.72779126,-73.98564945,In Service,0,St Marks Pl & 1 Ave,,,
439,E 4 St & 2 Ave,7,39,40.7262807,-73.98978041,In Service,32,E 4 St & 2 Ave,,,
440,E 45 St & 3 Ave,28,32,40.75255434,-73.97282625,In Service,4,E 45 St & 3 Ave,,,
441,E 52 St & 2 Ave,33,35,40.756014,-73.967416,In Service,2,E 52 St & 2 Ave,,,
442,W 27 St & 7 Ave,33,51,40.746647,-73.993915,In Service,18,W 27 St & 7 Ave,,,
443,Bedford Ave & S 9 St,14,23,40.70853074,-73.96408963,In Service,9,Bedford Ave & S 9th St,,,
444,Broadway & W 24 St,8,52,40.7423543,-73.98915076,In Service,44,Broadway & W 24 St,,,
445,E 10 St & Avenue A,33,42,40.72740794,-73.98142006,In Service,9,E 10 St & Avenue A,,,
446,W 24 St & 7 Ave,39,39,40.74487634,-73.99529885,In Service,0,W 24 St & 7 Ave,,,
447,8 Ave & W 52 St,19,31,40.76370739,-73.9851615,In Service,12,8 Ave & W 52 St,,,
448,W 37 St & 10 Ave,18,31,40.75660359,-73.9979009,In Service,13,W 37 St & 10 Ave,,,
449,W 52 St & 9 Ave,27,31,40.76461837,-73.98789473,In Service,4,W 52 St & 9 Ave,,,
450,W 49 St & 8 Ave,51,59,40.76227205,-73.98788205,In Service,8,W 49 St & 8 Ave,,,
453,W 22 St & 8 Ave,31,39,40.74475148,-73.99915362,In Service,8,W 22 St & 8 Ave,,,
